Lab_Name,Test_Name,Price,City,Area,Latitude,Longitude
Aarthi Scans,Thyroid Profile,859,Hyderabad,Abids,17.3895,78.4769
Aarthi Scans,Uric Acid Test,223,Hyderabad,Abids,17.3895,78.4769
Aarthi Scans,Urine Routine Test,103,Hyderabad,Abids,17.3895,78.4769
Aarthi Scans,Vitamin B12 Test,775,Hyderabad,Abids,17.3895,78.4769
Aarthi Scans,Women Health Checkup,3016,Hyderabad,Abids,17.3895,78.4769
Apollo Diagnostics,Anemia Profile,938,Hyderabad,Abids,17.3895,78.4769
Apollo Diagnostics,Bilirubin Test,275,Hyderabad,Abids,17.3895,78.4769
Apollo Diagnostics,Blood Group Test,212,Hyderabad,Abids,17.3895,78.4769
Apollo Diagnostics,Blood Sugar Test,200,Hyderabad,Abids,17.3895,78.4769
Apollo Diagnostics,CBC with ESR,688,Hyderabad,Abids,17.3895,78.4769
Apollo Diagnostics,COVID RT-PCR,780,Hyderabad,Abids,17.3895,78.4769
Apollo Diagnostics,CRP Test,457,Hyderabad,Abids,17.3895,78.4769
Apollo Diagnostics,Calcium Test,321,Hyderabad,Abids,17.3895,78.4769
Apollo Diagnostics,Cardiac Risk Profile,2930,Hyderabad,Abids,17.3895,78.4769
Apollo Diagnostics,Cholesterol Test,334,Hyderabad,Abids,17.3895,78.4769
Apollo Diagnostics,Dengue IgG IgM,1143,Hyderabad,Abids,17.3895,78.4769
Apollo Diagnostics,Dengue NS1 Antigen,628,Hyderabad,Abids,17.3895,78.4769
Apollo Diagnostics,Diabetes Profile,964,Hyderabad,Abids,17.3895,78.4769
Apollo Diagnostics,ESR,299,Hyderabad,Abids,17.3895,78.4769
Apollo Diagnostics,Electrolytes Test,796,Hyderabad,Abids,17.3895,78.4769
Apollo Diagnostics,Fasting Blood Sugar,82,Hyderabad,Abids,17.3895,78.4769
Apollo Diagnostics,Ferritin Test,694,Hyderabad,Abids,17.3895,78.4769
Apollo Diagnostics,Fever Profile,1437,Hyderabad,Abids,17.3895,78.4769
Apollo Diagnostics,HIV Test,714,Hyderabad,Abids,17.3895,78.4769
Apollo Diagnostics,HbA1c,525,Hyderabad,Abids,17.3895,78.4769
Apollo Diagnostics,Hepatitis B Test,584,Hyderabad,Abids,17.3895,78.4769
Apollo Diagnostics,Insulin Test,1105,Hyderabad,Abids,17.3895,78.4769
Apollo Diagnostics,Iron Profile,1270,Hyderabad,Abids,17.3895,78.4769
Apollo Diagnostics,Kidney Function Test,654,Hyderabad,Abids,17.3895,78.4769
Apollo Diagnostics,Lipid Profile,977,Hyderabad,Abids,17.3895,78.4769
Apollo Diagnostics,Malaria Parasite Test,665,Hyderabad,Abids,17.3895,78.4769
Apollo Diagnostics,PSA Test,1569,Hyderabad,Abids,17.3895,78.4769
Apollo Diagnostics,Pap Smear Test,1152,Hyderabad,Abids,17.3895,78.4769
Apollo Diagnostics,Post Lunch Blood Sugar,80,Hyderabad,Abids,17.3895,78.4769
Apollo Diagnostics,Potassium Test,316,Hyderabad,Abids,17.3895,78.4769
Apollo Diagnostics,Pregnancy Test,317,Hyderabad,Abids,17.3895,78.4769
Apollo Diagnostics,Prolactin Test,543,Hyderabad,Abids,17.3895,78.4769
Apollo Diagnostics,Rheumatoid Factor,464,Hyderabad,Abids,17.3895,78.4769
Apollo Diagnostics,Senior Citizen Checkup,4111,Hyderabad,Abids,17.3895,78.4769
Apollo Diagnostics,Sodium Test,312,Hyderabad,Abids,17.3895,78.4769
Apollo Diagnostics,T3 T4 TSH,940,Hyderabad,Abids,17.3895,78.4769
Apollo Diagnostics,TSH Test,422,Hyderabad,Abids,17.3895,78.4769
Apollo Diagnostics,Thyroid Profile,758,Hyderabad,Abids,17.3895,78.4769
Apollo Diagnostics,Triglycerides Test,412,Hyderabad,Abids,17.3895,78.4769
Apollo Diagnostics,Typhoid Test,762,Hyderabad,Abids,17.3895,78.4769
Apollo Diagnostics,Uric Acid Test,196,Hyderabad,Abids,17.3895,78.4769
Apollo Diagnostics,Urine Routine Test,232,Hyderabad,Abids,17.3895,78.4769
Apollo Diagnostics,Vitamin D Test,703,Hyderabad,Abids,17.3895,78.4769
Apollo Diagnostics,Women Health Checkup,2428,Hyderabad,Abids,17.3895,78.4769
Care Diagnostics,Anemia Profile,1727,Hyderabad,Abids,17.3895,78.4769
Care Diagnostics,Bilirubin Test,353,Hyderabad,Abids,17.3895,78.4769
Care Diagnostics,Blood Group Test,263,Hyderabad,Abids,17.3895,78.4769
Care Diagnostics,Blood Sugar Test,149,Hyderabad,Abids,17.3895,78.4769
Care Diagnostics,CBC with ESR,732,Hyderabad,Abids,17.3895,78.4769
Care Diagnostics,COVID RT-PCR,881,Hyderabad,Abids,17.3895,78.4769
Care Diagnostics,CRP Test,864,Hyderabad,Abids,17.3895,78.4769
Care Diagnostics,Calcium Test,334,Hyderabad,Abids,17.3895,78.4769
Care Diagnostics,Complete Blood Count,513,Hyderabad,Abids,17.3895,78.4769
Care Diagnostics,Creatinine Test,256,Hyderabad,Abids,17.3895,78.4769
Care Diagnostics,Diabetes Profile,1012,Hyderabad,Abids,17.3895,78.4769
Care Diagnostics,ESR,210,Hyderabad,Abids,17.3895,78.4769
Care Diagnostics,Electrolytes Test,576,Hyderabad,Abids,17.3895,78.4769
Care Diagnostics,Fasting Blood Sugar,180,Hyderabad,Abids,17.3895,78.4769
Care Diagnostics,Ferritin Test,984,Hyderabad,Abids,17.3895,78.4769
Care Diagnostics,Fever Profile,1299,Hyderabad,Abids,17.3895,78.4769
Care Diagnostics,Full Body Checkup,2922,Hyderabad,Abids,17.3895,78.4769
Care Diagnostics,HIV Test,709,Hyderabad,Abids,17.3895,78.4769
Care Diagnostics,HbA1c,686,Hyderabad,Abids,17.3895,78.4769
Care Diagnostics,Hepatitis B Test,887,Hyderabad,Abids,17.3895,78.4769
Care Diagnostics,Iron Profile,942,Hyderabad,Abids,17.3895,78.4769
Care Diagnostics,Kidney Function Test,701,Hyderabad,Abids,17.3895,78.4769
Care Diagnostics,Malaria Parasite Test,639,Hyderabad,Abids,17.3895,78.4769
Care Diagnostics,PSA Test,1262,Hyderabad,Abids,17.3895,78.4769
Care Diagnostics,Pap Smear Test,1293,Hyderabad,Abids,17.3895,78.4769
Care Diagnostics,Potassium Test,250,Hyderabad,Abids,17.3895,78.4769
Care Diagnostics,Pregnancy Test,332,Hyderabad,Abids,17.3895,78.4769
Care Diagnostics,Prolactin Test,892,Hyderabad,Abids,17.3895,78.4769
Care Diagnostics,Rheumatoid Factor,639,Hyderabad,Abids,17.3895,78.4769
Care Diagnostics,Senior Citizen Checkup,3093,Hyderabad,Abids,17.3895,78.4769
Care Diagnostics,Sodium Test,363,Hyderabad,Abids,17.3895,78.4769
Care Diagnostics,T3 T4 TSH,803,Hyderabad,Abids,17.3895,78.4769
Care Diagnostics,TSH Test,584,Hyderabad,Abids,17.3895,78.4769
Care Diagnostics,Thyroid Profile,1043,Hyderabad,Abids,17.3895,78.4769
Care Diagnostics,Triglycerides Test,371,Hyderabad,Abids,17.3895,78.4769
Care Diagnostics,Typhoid Test,586,Hyderabad,Abids,17.3895,78.4769
Care Diagnostics,Uric Acid Test,230,Hyderabad,Abids,17.3895,78.4769
Care Diagnostics,Urine Routine Test,171,Hyderabad,Abids,17.3895,78.4769
Care Diagnostics,Vitamin B12 Test,967,Hyderabad,Abids,17.3895,78.4769
Care Diagnostics,Vitamin D Test,1426,Hyderabad,Abids,17.3895,78.4769
Continental Diagnostics,Anemia Profile,1498,Hyderabad,Abids,17.3895,78.4769
Continental Diagnostics,Bilirubin Test,271,Hyderabad,Abids,17.3895,78.4769
Continental Diagnostics,Blood Group Test,179,Hyderabad,Abids,17.3895,78.4769
Continental Diagnostics,CBC with ESR,741,Hyderabad,Abids,17.3895,78.4769
Continental Diagnostics,COVID RT-PCR,1135,Hyderabad,Abids,17.3895,78.4769
Continental Diagnostics,CRP Test,373,Hyderabad,Abids,17.3895,78.4769
Continental Diagnostics,Cardiac Risk Profile,1328,Hyderabad,Abids,17.3895,78.4769
Continental Diagnostics,Complete Blood Count,272,Hyderabad,Abids,17.3895,78.4769
Continental Diagnostics,Creatinine Test,404,Hyderabad,Abids,17.3895,78.4769
Continental Diagnostics,Dengue IgG IgM,1004,Hyderabad,Abids,17.3895,78.4769
Continental Diagnostics,Diabetes Profile,1657,Hyderabad,Abids,17.3895,78.4769
Continental Diagnostics,ESR,164,Hyderabad,Abids,17.3895,78.4769
Continental Diagnostics,Electrolytes Test,569,Hyderabad,Abids,17.3895,78.4769
Continental Diagnostics,Fasting Blood Sugar,83,Hyderabad,Abids,17.3895,78.4769
Continental Diagnostics,Ferritin Test,1054,Hyderabad,Abids,17.3895,78.4769
Continental Diagnostics,Fever Profile,1396,Hyderabad,Abids,17.3895,78.4769
Continental Diagnostics,HIV Test,543,Hyderabad,Abids,17.3895,78.4769
Continental Diagnostics,HbA1c,390,Hyderabad,Abids,17.3895,78.4769
Continental Diagnostics,Hepatitis B Test,674,Hyderabad,Abids,17.3895,78.4769
Continental Diagnostics,Iron Profile,1013,Hyderabad,Abids,17.3895,78.4769
Continental Diagnostics,Kidney Function Test,733,Hyderabad,Abids,17.3895,78.4769
Continental Diagnostics,Lipid Profile,812,Hyderabad,Abids,17.3895,78.4769
Continental Diagnostics,Liver Function Test,1084,Hyderabad,Abids,17.3895,78.4769
Continental Diagnostics,Malaria Parasite Test,565,Hyderabad,Abids,17.3895,78.4769
Continental Diagnostics,PSA Test,781,Hyderabad,Abids,17.3895,78.4769
Continental Diagnostics,Pap Smear Test,1681,Hyderabad,Abids,17.3895,78.4769
Continental Diagnostics,Post Lunch Blood Sugar,147,Hyderabad,Abids,17.3895,78.4769
Continental Diagnostics,Potassium Test,201,Hyderabad,Abids,17.3895,78.4769
Continental Diagnostics,Pregnancy Test,169,Hyderabad,Abids,17.3895,78.4769
Continental Diagnostics,Prolactin Test,510,Hyderabad,Abids,17.3895,78.4769
Continental Diagnostics,Rheumatoid Factor,851,Hyderabad,Abids,17.3895,78.4769
Continental Diagnostics,Senior Citizen Checkup,1970,Hyderabad,Abids,17.3895,78.4769
Continental Diagnostics,Sodium Test,294,Hyderabad,Abids,17.3895,78.4769
Continental Diagnostics,Thyroid Profile,669,Hyderabad,Abids,17.3895,78.4769
Continental Diagnostics,Urine Routine Test,122,Hyderabad,Abids,17.3895,78.4769
Continental Diagnostics,Vitamin D Test,1196,Hyderabad,Abids,17.3895,78.4769
Continental Diagnostics,Women Health Checkup,3514,Hyderabad,Abids,17.3895,78.4769
Dr Lal PathLabs,Anemia Profile,1452,Hyderabad,Abids,17.3895,78.4769
Dr Lal PathLabs,Bilirubin Test,413,Hyderabad,Abids,17.3895,78.4769
Dr Lal PathLabs,Blood Group Test,221,Hyderabad,Abids,17.3895,78.4769
Dr Lal PathLabs,Blood Sugar Test,179,Hyderabad,Abids,17.3895,78.4769
Dr Lal PathLabs,CBC with ESR,726,Hyderabad,Abids,17.3895,78.4769
Dr Lal PathLabs,COVID RT-PCR,1110,Hyderabad,Abids,17.3895,78.4769
Dr Lal PathLabs,CRP Test,653,Hyderabad,Abids,17.3895,78.4769
Dr Lal PathLabs,Calcium Test,287,Hyderabad,Abids,17.3895,78.4769
Dr Lal PathLabs,Cardiac Risk Profile,2531,Hyderabad,Abids,17.3895,78.4769
Dr Lal PathLabs,Cholesterol Test,317,Hyderabad,Abids,17.3895,78.4769
Dr Lal PathLabs,Creatinine Test,221,Hyderabad,Abids,17.3895,78.4769
Dr Lal PathLabs,Dengue IgG IgM,1103,Hyderabad,Abids,17.3895,78.4769
Dr Lal PathLabs,Dengue NS1 Antigen,1361,Hyderabad,Abids,17.3895,78.4769
Dr Lal PathLabs,Diabetes Profile,1293,Hyderabad,Abids,17.3895,78.4769
Dr Lal PathLabs,ESR,213,Hyderabad,Abids,17.3895,78.4769
Dr Lal PathLabs,Electrolytes Test,749,Hyderabad,Abids,17.3895,78.4769
Dr Lal PathLabs,Fasting Blood Sugar,150,Hyderabad,Abids,17.3895,78.4769
Dr Lal PathLabs,Ferritin Test,915,Hyderabad,Abids,17.3895,78.4769
Dr Lal PathLabs,Fever Profile,942,Hyderabad,Abids,17.3895,78.4769
Dr Lal PathLabs,HIV Test,564,Hyderabad,Abids,17.3895,78.4769
Dr Lal PathLabs,HbA1c,518,Hyderabad,Abids,17.3895,78.4769
Dr Lal PathLabs,Hepatitis B Test,620,Hyderabad,Abids,17.3895,78.4769
Dr Lal PathLabs,Insulin Test,871,Hyderabad,Abids,17.3895,78.4769
Dr Lal PathLabs,Iron Profile,939,Hyderabad,Abids,17.3895,78.4769
Dr Lal PathLabs,Kidney Function Test,943,Hyderabad,Abids,17.3895,78.4769
Dr Lal PathLabs,Lipid Profile,636,Hyderabad,Abids,17.3895,78.4769
Dr Lal PathLabs,Liver Function Test,1176,Hyderabad,Abids,17.3895,78.4769
Dr Lal PathLabs,Malaria Parasite Test,648,Hyderabad,Abids,17.3895,78.4769
Dr Lal PathLabs,PSA Test,1347,Hyderabad,Abids,17.3895,78.4769
Dr Lal PathLabs,Pap Smear Test,1333,Hyderabad,Abids,17.3895,78.4769
Dr Lal PathLabs,Post Lunch Blood Sugar,146,Hyderabad,Abids,17.3895,78.4769
Dr Lal PathLabs,Pregnancy Test,218,Hyderabad,Abids,17.3895,78.4769
Dr Lal PathLabs,Prolactin Test,543,Hyderabad,Abids,17.3895,78.4769
Dr Lal PathLabs,Rheumatoid Factor,826,Hyderabad,Abids,17.3895,78.4769
Dr Lal PathLabs,Senior Citizen Checkup,3576,Hyderabad,Abids,17.3895,78.4769
Dr Lal PathLabs,Sodium Test,302,Hyderabad,Abids,17.3895,78.4769
Dr Lal PathLabs,T3 T4 TSH,461,Hyderabad,Abids,17.3895,78.4769
Dr Lal PathLabs,TSH Test,584,Hyderabad,Abids,17.3895,78.4769
Dr Lal PathLabs,Thyroid Profile,550,Hyderabad,Abids,17.3895,78.4769
Dr Lal PathLabs,Triglycerides Test,306,Hyderabad,Abids,17.3895,78.4769
Dr Lal PathLabs,Typhoid Test,715,Hyderabad,Abids,17.3895,78.4769
Dr Lal PathLabs,Uric Acid Test,262,Hyderabad,Abids,17.3895,78.4769
Dr Lal PathLabs,Urine Routine Test,188,Hyderabad,Abids,17.3895,78.4769
Dr Lal PathLabs,Vitamin B12 Test,817,Hyderabad,Abids,17.3895,78.4769
Dr Lal PathLabs,Women Health Checkup,2982,Hyderabad,Abids,17.3895,78.4769
KIMS Diagnostics,Anemia Profile,953,Hyderabad,Abids,17.3895,78.4769
KIMS Diagnostics,Bilirubin Test,387,Hyderabad,Abids,17.3895,78.4769
KIMS Diagnostics,Blood Group Test,215,Hyderabad,Abids,17.3895,78.4769
KIMS Diagnostics,Blood Sugar Test,187,Hyderabad,Abids,17.3895,78.4769
KIMS Diagnostics,CBC with ESR,575,Hyderabad,Abids,17.3895,78.4769
KIMS Diagnostics,COVID RT-PCR,970,Hyderabad,Abids,17.3895,78.4769
KIMS Diagnostics,CRP Test,418,Hyderabad,Abids,17.3895,78.4769
KIMS Diagnostics,Calcium Test,404,Hyderabad,Abids,17.3895,78.4769
KIMS Diagnostics,Complete Blood Count,538,Hyderabad,Abids,17.3895,78.4769
KIMS Diagnostics,Creatinine Test,443,Hyderabad,Abids,17.3895,78.4769
KIMS Diagnostics,Dengue NS1 Antigen,1095,Hyderabad,Abids,17.3895,78.4769
KIMS Diagnostics,Diabetes Profile,983,Hyderabad,Abids,17.3895,78.4769
KIMS Diagnostics,ESR,287,Hyderabad,Abids,17.3895,78.4769
KIMS Diagnostics,Electrolytes Test,870,Hyderabad,Abids,17.3895,78.4769
KIMS Diagnostics,Fasting Blood Sugar,129,Hyderabad,Abids,17.3895,78.4769
KIMS Diagnostics,Ferritin Test,994,Hyderabad,Abids,17.3895,78.4769
KIMS Diagnostics,Fever Profile,821,Hyderabad,Abids,17.3895,78.4769
KIMS Diagnostics,Full Body Checkup,1467,Hyderabad,Abids,17.3895,78.4769
KIMS Diagnostics,HIV Test,792,Hyderabad,Abids,17.3895,78.4769
KIMS Diagnostics,Hepatitis B Test,820,Hyderabad,Abids,17.3895,78.4769
KIMS Diagnostics,Insulin Test,1151,Hyderabad,Abids,17.3895,78.4769
KIMS Diagnostics,Iron Profile,709,Hyderabad,Abids,17.3895,78.4769
KIMS Diagnostics,Kidney Function Test,564,Hyderabad,Abids,17.3895,78.4769
KIMS Diagnostics,Liver Function Test,871,Hyderabad,Abids,17.3895,78.4769
KIMS Diagnostics,Malaria Parasite Test,663,Hyderabad,Abids,17.3895,78.4769
KIMS Diagnostics,PSA Test,1173,Hyderabad,Abids,17.3895,78.4769
KIMS Diagnostics,Pap Smear Test,1032,Hyderabad,Abids,17.3895,78.4769
KIMS Diagnostics,Post Lunch Blood Sugar,137,Hyderabad,Abids,17.3895,78.4769
KIMS Diagnostics,Potassium Test,231,Hyderabad,Abids,17.3895,78.4769
KIMS Diagnostics,Pregnancy Test,283,Hyderabad,Abids,17.3895,78.4769
KIMS Diagnostics,Prolactin Test,604,Hyderabad,Abids,17.3895,78.4769
KIMS Diagnostics,Rheumatoid Factor,643,Hyderabad,Abids,17.3895,78.4769
KIMS Diagnostics,Senior Citizen Checkup,2293,Hyderabad,Abids,17.3895,78.4769
KIMS Diagnostics,Sodium Test,279,Hyderabad,Abids,17.3895,78.4769
KIMS Diagnostics,T3 T4 TSH,670,Hyderabad,Abids,17.3895,78.4769
KIMS Diagnostics,TSH Test,403,Hyderabad,Abids,17.3895,78.4769
KIMS Diagnostics,Thyroid Profile,1019,Hyderabad,Abids,17.3895,78.4769
KIMS Diagnostics,Triglycerides Test,277,Hyderabad,Abids,17.3895,78.4769
KIMS Diagnostics,Typhoid Test,375,Hyderabad,Abids,17.3895,78.4769
KIMS Diagnostics,Uric Acid Test,340,Hyderabad,Abids,17.3895,78.4769
KIMS Diagnostics,Urine Routine Test,214,Hyderabad,Abids,17.3895,78.4769
KIMS Diagnostics,Vitamin B12 Test,1054,Hyderabad,Abids,17.3895,78.4769
KIMS Diagnostics,Vitamin D Test,1425,Hyderabad,Abids,17.3895,78.4769
KIMS Diagnostics,Women Health Checkup,2231,Hyderabad,Abids,17.3895,78.4769
Lucid Diagnostics,Anemia Profile,1743,Hyderabad,Abids,17.3895,78.4769
Lucid Diagnostics,Bilirubin Test,478,Hyderabad,Abids,17.3895,78.4769
Lucid Diagnostics,CBC with ESR,444,Hyderabad,Abids,17.3895,78.4769
Lucid Diagnostics,COVID RT-PCR,752,Hyderabad,Abids,17.3895,78.4769
Lucid Diagnostics,CRP Test,604,Hyderabad,Abids,17.3895,78.4769
Lucid Diagnostics,Calcium Test,420,Hyderabad,Abids,17.3895,78.4769
Lucid Diagnostics,Cardiac Risk Profile,2983,Hyderabad,Abids,17.3895,78.4769
Lucid Diagnostics,Cholesterol Test,482,Hyderabad,Abids,17.3895,78.4769
Lucid Diagnostics,Complete Blood Count,510,Hyderabad,Abids,17.3895,78.4769
Lucid Diagnostics,Creatinine Test,228,Hyderabad,Abids,17.3895,78.4769
Lucid Diagnostics,Dengue IgG IgM,513,Hyderabad,Abids,17.3895,78.4769
Lucid Diagnostics,Dengue NS1 Antigen,686,Hyderabad,Abids,17.3895,78.4769
Lucid Diagnostics,Diabetes Profile,1566,Hyderabad,Abids,17.3895,78.4769
Lucid Diagnostics,ESR,182,Hyderabad,Abids,17.3895,78.4769
Lucid Diagnostics,Electrolytes Test,512,Hyderabad,Abids,17.3895,78.4769
Lucid Diagnostics,Fever Profile,1290,Hyderabad,Abids,17.3895,78.4769
Lucid Diagnostics,HIV Test,788,Hyderabad,Abids,17.3895,78.4769
Lucid Diagnostics,HbA1c,481,Hyderabad,Abids,17.3895,78.4769
Lucid Diagnostics,Hepatitis B Test,664,Hyderabad,Abids,17.3895,78.4769
Lucid Diagnostics,Kidney Function Test,978,Hyderabad,Abids,17.3895,78.4769
Lucid Diagnostics,Lipid Profile,886,Hyderabad,Abids,17.3895,78.4769
Lucid Diagnostics,Pap Smear Test,1437,Hyderabad,Abids,17.3895,78.4769
Lucid Diagnostics,Potassium Test,252,Hyderabad,Abids,17.3895,78.4769
Lucid Diagnostics,Pregnancy Test,353,Hyderabad,Abids,17.3895,78.4769
Lucid Diagnostics,Rheumatoid Factor,839,Hyderabad,Abids,17.3895,78.4769
Lucid Diagnostics,Sodium Test,152,Hyderabad,Abids,17.3895,78.4769
Lucid Diagnostics,T3 T4 TSH,516,Hyderabad,Abids,17.3895,78.4769
Lucid Diagnostics,TSH Test,446,Hyderabad,Abids,17.3895,78.4769
Lucid Diagnostics,Thyroid Profile,609,Hyderabad,Abids,17.3895,78.4769
Lucid Diagnostics,Triglycerides Test,452,Hyderabad,Abids,17.3895,78.4769
Lucid Diagnostics,Vitamin B12 Test,639,Hyderabad,Abids,17.3895,78.4769
Lucid Diagnostics,Vitamin D Test,845,Hyderabad,Abids,17.3895,78.4769
Lucid Diagnostics,Women Health Checkup,2114,Hyderabad,Abids,17.3895,78.4769
Matrix Diagnostics,Anemia Profile,1501,Hyderabad,Abids,17.3895,78.4769
Matrix Diagnostics,Bilirubin Test,225,Hyderabad,Abids,17.3895,78.4769
Matrix Diagnostics,CRP Test,376,Hyderabad,Abids,17.3895,78.4769
Matrix Diagnostics,Calcium Test,432,Hyderabad,Abids,17.3895,78.4769
Matrix Diagnostics,Cardiac Risk Profile,2941,Hyderabad,Abids,17.3895,78.4769
Matrix Diagnostics,Cholesterol Test,315,Hyderabad,Abids,17.3895,78.4769
Matrix Diagnostics,Complete Blood Count,521,Hyderabad,Abids,17.3895,78.4769
Matrix Diagnostics,Creatinine Test,359,Hyderabad,Abids,17.3895,78.4769
Matrix Diagnostics,Dengue IgG IgM,584,Hyderabad,Abids,17.3895,78.4769
Matrix Diagnostics,Dengue NS1 Antigen,1169,Hyderabad,Abids,17.3895,78.4769
Matrix Diagnostics,Diabetes Profile,1477,Hyderabad,Abids,17.3895,78.4769
Matrix Diagnostics,ESR,232,Hyderabad,Abids,17.3895,78.4769
Matrix Diagnostics,Electrolytes Test,512,Hyderabad,Abids,17.3895,78.4769
Matrix Diagnostics,Ferritin Test,560,Hyderabad,Abids,17.3895,78.4769
Matrix Diagnostics,Fever Profile,979,Hyderabad,Abids,17.3895,78.4769
Matrix Diagnostics,Full Body Checkup,2248,Hyderabad,Abids,17.3895,78.4769
Matrix Diagnostics,HIV Test,427,Hyderabad,Abids,17.3895,78.4769
Matrix Diagnostics,HbA1c,631,Hyderabad,Abids,17.3895,78.4769
Matrix Diagnostics,Hepatitis B Test,747,Hyderabad,Abids,17.3895,78.4769
Matrix Diagnostics,Insulin Test,768,Hyderabad,Abids,17.3895,78.4769
Matrix Diagnostics,Iron Profile,841,Hyderabad,Abids,17.3895,78.4769
Matrix Diagnostics,Kidney Function Test,1061,Hyderabad,Abids,17.3895,78.4769
Matrix Diagnostics,Lipid Profile,792,Hyderabad,Abids,17.3895,78.4769
Matrix Diagnostics,Liver Function Test,804,Hyderabad,Abids,17.3895,78.4769
Matrix Diagnostics,PSA Test,1099,Hyderabad,Abids,17.3895,78.4769
Matrix Diagnostics,Pap Smear Test,1695,Hyderabad,Abids,17.3895,78.4769
Matrix Diagnostics,Post Lunch Blood Sugar,107,Hyderabad,Abids,17.3895,78.4769
Matrix Diagnostics,Potassium Test,280,Hyderabad,Abids,17.3895,78.4769
Matrix Diagnostics,Pregnancy Test,237,Hyderabad,Abids,17.3895,78.4769
Matrix Diagnostics,Rheumatoid Factor,761,Hyderabad,Abids,17.3895,78.4769
Matrix Diagnostics,Senior Citizen Checkup,3351,Hyderabad,Abids,17.3895,78.4769
Matrix Diagnostics,Sodium Test,226,Hyderabad,Abids,17.3895,78.4769
Matrix Diagnostics,T3 T4 TSH,566,Hyderabad,Abids,17.3895,78.4769
Matrix Diagnostics,TSH Test,494,Hyderabad,Abids,17.3895,78.4769
Matrix Diagnostics,Thyroid Profile,1070,Hyderabad,Abids,17.3895,78.4769
Matrix Diagnostics,Triglycerides Test,278,Hyderabad,Abids,17.3895,78.4769
Matrix Diagnostics,Typhoid Test,366,Hyderabad,Abids,17.3895,78.4769
Matrix Diagnostics,Uric Acid Test,408,Hyderabad,Abids,17.3895,78.4769
Matrix Diagnostics,Urine Routine Test,168,Hyderabad,Abids,17.3895,78.4769
Matrix Diagnostics,Vitamin B12 Test,1180,Hyderabad,Abids,17.3895,78.4769
Matrix Diagnostics,Vitamin D Test,736,Hyderabad,Abids,17.3895,78.4769
Matrix Diagnostics,Women Health Checkup,1577,Hyderabad,Abids,17.3895,78.4769
MedPlus Diagnostics,Anemia Profile,1485,Hyderabad,Abids,17.3895,78.4769
MedPlus Diagnostics,Blood Sugar Test,89,Hyderabad,Abids,17.3895,78.4769
MedPlus Diagnostics,CBC with ESR,543,Hyderabad,Abids,17.3895,78.4769
